Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AMAZING,AMAZING,AWESOME, WOW, AMAZED, MAD,AWESOME, WOW, CRAZY,,,,,,,,,,,
APPOINTMENT,APPOINTMENT,RESERVE, RESERVATION,RESERVATION, APPOINTMENT, RESERVE, BOOKED,,,,,,,,,,,,
BAKE_1,BAKE, BAKING,OVEN, BAKERY,BAKE, BAKING,,,,,,,,,,,,,
BASEBALL,BASEBALL,,,,,,,,,,,,,,,,,,
BEAT,BEAT,DEFEAT, DEFEATED, OVERCOME,CONQUER, BEAT, BEATEN, DEFEATED,,,,,,,,,,,
BELIEVE,BELIEVE,BELIEVABLE, HUSBAND,BELIEF, BELIEFS, HUSBAND,,,,,,,,,,,,,
BENEFIT,BENEFIT, BENEFITS,PITTSBURGH, CREDIT,  MAINE, FRATERNITY, CREDITS, SCORE, POINT, PROFIT,PITTSBURGH, MAINE, BENEFITS, POINTS, CREDIT,,,,
BIOLOGY,BIOLOGY,WORRY,TROUBLE, FRUSTRATE,,,,,,,,,,,,,,,
BIRD,BIRD, BIRDS,CHICKEN,CHICKEN, BIRD,,,,,,,,,,,,,,
BLANKET,BLANKET,SHEET, SHEETS, HAIR LENGTH THIS LONG..,,,,,,,,,,,,,,,
BLINDS_2,BLINDS,CLOSE/OPEN/TURN BLINDS, SHUTTERS, SHADES,OPEN BLINDS, SHUTTERS,,,,,,,,,,,,,
BONE,BONE, BONES,POISON, SKELETON,POISON, SKELETON, SKULL, TOXIC, BONES, CAUTIOUS,,,,,,,,,
BOOTS,BOOTS,FLOOR, EQUAL,FLOOR, BOOTS, BREAK EVEN, PUT TOGETHER,,,,,,,,,,,,
BOSS,BOSS,COACH, CAPTAIN, CHAIR, CHIEF,,,,,,,,,,,,,,
BRA,BRA,BIKINI, BATHING SUIT, SWIMMING SUIT TOP,BIKINI TOP,,,,,,,,,,,,,,
BRACELET,BRACELET,WATCH, WATCHES, WRISTWATCH, BRACE,BRACELET,,,,,,,,,,,,,
BRAVE,BRAVE,HEALTH, RECOVER, DRIVING, COURAGEOUS, COURAGE, STRONG,COURAGE, HEALTHY, HEALTH, HEAL, STRONG, STRENGTH, BRAVE,,,,,
BRIDESMAID,BRIDESMAID,BRIDE,,,,,,,,,,,,,,,,,
BUG,BUG,INSECT, INSECTS,ORGASM, INSECT, BUG, ANT,,,,,,,,,,,,
CABINET,CABINET, CABINETS,TAKE APART, PULL APART, TAKE AWAY, LOOKING THROUGH HANGING CLOTHES, READ INTENSELY, CUPBOARD,CABINETS,,,,,,,,,,
CANDY_1,CANDY,SOUR,,,,,,,,,,,,,,,,,
CANDY_2,CANDY,CUTE, HONEY, SUGAR, PUNY,CUTE, SUGAR, CANDY, HONEY,,,,,,,,,,
CANOE,CANOE, CANOEING,KAYAK, KAYAKING, PADDLING, RAFTING, ROW, ROWING, OAR,CANOE, PADDLE BOAT,,,,,,,,
CASTLE,CASTLE,,,,,,,,,,,,,,,,,,
CHANNEL,CHANNEL,DOORKNOB, TURN THE HEAT UP,CHANNEL(3), FAUCET, KNOB, COMBINATION SAFE / LOCKER,,,,,,,,,,,,
CHEAT_2,CHEAT, CHEATING,CHEATER, CHEATING,,,,,,,,,,,,,,,
CHOCOLATE,CHOCOLATE,TALK OR THINK DIRTY,,,,,,,,,,,,,,,,,
CLEAR,CLEAR,BRIGHT, OBVIOUS, LIGHT,OBVIOUS, CLEAR, BRIGHT, LIGHT, CLARIFY,,,,,,,,,,
CLOUD_2,CLOUD, CLOUDS,CLOUDY, DECORATE, DECORATION,DECORATION,,,,,,,,,,,,,
COMPUTER_MOUSE,COMPUTER MOUSE,MOUSE TRACKPAD,POINTING DEVICE, CL: HOW THE PERSON MOVED THE MOUSE,,,,,,,,,,,,,,,
CONTINUE,CONTINUE,GOING ON, CONSTANT, CONSTANTLY, PERSIST, LASTING, KEEP GOING, WON'T STOP,CARRY ON, CONSTANT, CONSTANTL, MONOTONOUS, ONGOING, CONTINUING, CONTINUOUS, NON-STOP,,,
CORKSCREW,CORKSCREW,,,,,,,,,,,,,,,,,,
CORN_2,CORN,TRANSMISSION,VAGUE, EVASIVE, BLURRY, SECRET, OBSCURE, SMEAR,,,,,,,,,,,
COUNSELOR,COUNSELING,ADVISOR, ADVICE, CONSULTANT,,,,,,,,,,,,,,,
COVER_UP,COVER UP, COVER,VAGUE, CONCEAL, MASK, MISLEAD, SLIDE OVER,,,,,,,,,,,,
CRAZY,CRAZY,INSANE, MINDLESS, PSYCHO, LOCO, MENTALLY ILL, MIND ISN'T WORKING, WACKO, CUKOO,INSANE, MENTAL, CRAZY, PSYCHO, LOOPY, NUTTY, STRANGE,,,
CRY,CRY, CRYING,TEARS,TEARFUL,,,,,,,,,,,,,,,
CUP,CUP,CAN, GLASS, GLASSES,,,,,,,,,,,,,,,
CURTAIN,CURTAIN, CURTAINS,DRAPES,DRAPE,,,,,,,,,,,,,,,
CUTE,CUTE,SUGAR,SUGAR,,,,,,,,,,,,,,,,
