Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
APPOINTMENT,APPOINTMENT,RESERVE, RESERVATION,RESERVATION, APPOINTMENT, RESERVE, BOOKED,,,,,,,,,,,,
BASEBALL,BASEBALL,,,,,,,,,,,,,,,,,,
BEAT,BEAT,DEFEAT, DEFEATED, OVERCOME,CONQUER, BEAT, BEATEN, DEFEATED,,,,,,,,,,,
BENEFIT,BENEFIT, BENEFITS,PITTSBURGH, CREDIT,  MAINE, FRATERNITY, CREDITS, SCORE, POINT, PROFIT,PITTSBURGH, MAINE, BENEFITS, POINTS, CREDIT,,,,
BIOLOGY,BIOLOGY,WORRY,TROUBLE, FRUSTRATE,,,,,,,,,,,,,,,
BIRD,BIRD, BIRDS,CHICKEN,CHICKEN, BIRD,,,,,,,,,,,,,,
BLANKET,BLANKET,SHEET, SHEETS, HAIR LENGTH THIS LONG..,,,,,,,,,,,,,,,
BONE,BONE, BONES,POISON, SKELETON,POISON, SKELETON, SKULL, TOXIC, BONES, CAUTIOUS,,,,,,,,,
BOSS,BOSS,COACH, CAPTAIN, CHAIR, CHIEF,,,,,,,,,,,,,,
BRA,BRA,BIKINI, BATHING SUIT, SWIMMING SUIT TOP,BIKINI TOP,,,,,,,,,,,,,,
BRACELET,BRACELET,WATCH, WATCHES, WRISTWATCH, BRACE,BRACELET,,,,,,,,,,,,,
BUG,BUG,INSECT, INSECTS,ORGASM, INSECT, BUG, ANT,,,,,,,,,,,,
CABINET,CABINET, CABINETS,TAKE APART, PULL APART, TAKE AWAY, LOOKING THROUGH HANGING CLOTHES, READ INTENSELY, CUPBOARD,CABINETS,,,,,,,,,,
CHANNEL,CHANNEL,DOORKNOB, TURN THE HEAT UP,CHANNEL(3), FAUCET, KNOB, COMBINATION SAFE / LOCKER,,,,,,,,,,,,
CHOCOLATE,CHOCOLATE,TALK OR THINK DIRTY,,,,,,,,,,,,,,,,,
CLEAR,CLEAR,BRIGHT, OBVIOUS, LIGHT,OBVIOUS, CLEAR, BRIGHT, LIGHT, CLARIFY,,,,,,,,,,
CONTINUE,CONTINUE,GOING ON, CONSTANT, CONSTANTLY, PERSIST, LASTING, KEEP GOING, WON'T STOP,CARRY ON, CONSTANT, CONSTANTL, MONOTONOUS, ONGOING, CONTINUING, CONTINUOUS, NON-STOP,,,
CRAZY,CRAZY,INSANE, MINDLESS, PSYCHO, LOCO, MENTALLY ILL, MIND ISN'T WORKING, WACKO, CUKOO,INSANE, MENTAL, CRAZY, PSYCHO, LOOPY, NUTTY, STRANGE,,,
CRY,CRY, CRYING,TEARS,TEARFUL,,,,,,,,,,,,,,,
CUP,CUP,CAN, GLASS, GLASSES,,,,,,,,,,,,,,,
CURTAIN,CURTAIN, CURTAINS,DRAPES,DRAPE,,,,,,,,,,,,,,,
CUTE,CUTE,SUGAR,SUGAR,,,,,,,,,,,,,,,,
DENY,DENY, DENYING,DENIAL,DENIAL,,,,,,,,,,,,,,,
DINOSAUR,DINOSAUR, DINOSAURS,,,,,,,,,,,,,,,,,
