Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#AC,,,,,,,,,,,,,,,,,,,
#ALL,,,,,,,,,,,,,,,,,,,
#ASL,,,,,,,,,,,,,,,,,,,
#BACK,,,,,,,,,,,,,,,,,,,
#BBQ,,,,,,,,,,,,,,,,,,,
#BUS,,,,,,,,,,,,,,,,,,,
#CC,,,,,,,,,,,,,,,,,,,
#CLUB,,,,,,,,,,,,,,,,,,,
#CO,,,,,,,,,,,,,,,,,,,
#CP,,,,,,,,,,,,,,,,,,,
#DO++WHAT,,,,,,,,,,,,,,,,,,,
#DOG,,,,,,,,,,,,,,,,,,,
#EARLY,,,,,,,,,,,,,,,,,,,
#ED,,,,,,,,,,,,,,,,,,,
#FF,,,,,,,,,,,,,,,,,,,
#FIX,,,,,,,,,,,,,,,,,,,
#HA-HA,,,,,,,,,,,,,,,,,,,
#HR,,,,,,,,,,,,,,,,,,,
#IF,,,,,,,,,,,,,,,,,,,
#JOB,,,,,,,,,,,,,,,,,,,
#LAB,,,,,,,,,,,,,,,,,,,
#MW,,,,,,,,,,,,,,,,,,,
#NO,,,,,,,,,,,,,,,,,,,
#OD,,,,,,,,,,,,,,,,,,,
#OFF,,,,,,,,,,,,,,,,,,,
#OK,,,,,,,,,,,,,,,,,,,
#OR,,,,,,,,,,,,,,,,,,,
#PE,,,,,,,,,,,,,,,,,,,
#PIZZA,,,,,,,,,,,,,,,,,,,
#PO,,,,,,,,,,,,,,,,,,,
#REF,,,,,,,,,,,,,,,,,,,
#RR,,,,,,,,,,,,,,,,,,,
#SS,,,,,,,,,,,,,,,,,,,
#TTY,,,,,,,,,,,,,,,,,,,
#TV,,,,,,,,,,,,,,,,,,,
#WHAT,,,,,,,,,,,,,,,,,,,
#WILL,,,,,,,,,,,,,,,,,,,
#WOW,,,,,,,,,,,,,,,,,,,
#YES,,,,,,,,,,,,,,,,,,,
-1-FAR,,,,,,,,,,,,,,,,,,,
-1-GO-STEADY,,,,,,,,,,,,,,,,,,,
-1-WHO,,,,,,,,,,,,,,,,,,,
-1h--L-X-INTERESTING+ZERO-2,,,,,,,,,,,,,,,,,,,
-1h-AREA,,,,,,,,,,,,,,,,,,,
-1h-EAT-UP,,,,,,,,,,,,,,,,,,,
-1h-GOOD-THANK-YOU,,,,,,,,,,,,,,,,,,,
-1h-HAMMER+AGENT,,,,,,,,,,,,,,,,,,,
-1h-HAPPY++NEW+YEAR,,,,,,,,,,,,,,,,,,,
-1h-HAPPY+-1h-MOST,,,,,,,,,,,,,,,,,,,
