EntryID;DominantGloss.Percent;NondominantGloss.Percent;AdditionalGloss.Number;;;;;;;;;;;;;;;;
amazing;amazing;awesome (29.6); wow (11.1); amazed (3.7); mad (3.7);awesome (2); wow (2); crazy (1);;;;;;;;;;;
appointment;appointment;reserve (36.7); reservation (3.3);reservation (8); appointment (7); reserve (3); booked (1);;;;;;;;;;;;
bake_1;bake (53.4); baking (26.6);oven (16.7); bakery (3.3);bake (2); baking (1) bakery (1);;;;;;;;;;;;;
baseball;baseball;;;;;;;;;;;;;;;;;;
beat;beat;defeat (28.0); defeated (8.0); overcome (4.0);conquer (1); beat (1); beaten (1); defeated (1);;;;;;;;;;;
believe;believe;believable (3.7); husband (3.7);belief (2); beliefs (1); husband (2);;;;;;;;;;;;;
benefit;benefit (13.3); benefits (10.0);Pittsburgh (20.0); credit (16.7);  Maine (13.3); fraternity (13.3); credits (3.3); score (3.3); point (3.3); profit (3.3);Pittsburgh (3); Maine (2); benefits (1); points (1); credit (1);;;;
biology;biology;worry (3.7);trouble (1); frustrate (1);;;;;;;;;;;;;;;
bird;bird (87.1); birds (3.2);chicken (10.0);chicken (6); bird (2);;;;;;;;;;;;;;
blanket;blanket;sheet (16.7); sheets (4.2); hair length this long.. (4.2);;;;;;;;;;;;;;;
blinds_2;blinds;close/open/turn blinds (26.1); shutters (4.3); shades (4.3);open blinds (2); shutters (1);;;;;;;;;;;;;
bone;bone (40.0); bones (20.0);poison (36.7); skeleton (3.3);poison (11); skeleton (6); skull (1); toxic (3); bones (3); cautious (1);;;;;;;;;
boots;boots;floor (16.7); equal (3.3);floor (4); boots (1); break even (1); put together (1);;;;;;;;;;;;
boss;boss;coach (2); captain (2); chair (2); chief (1) backpack (2);;;;;;;;;;;;;;
bra;bra;bikini (8.0); bathing suit (4.0); swimming suit top (4.0);bikini top (1);;;;;;;;;;;;;;
bracelet;bracelet;watch (36.0); watches (4.0); wristwatch (4.0); brace (4.0);bracelet (2);;;;;;;;;;;;;
brave;brave;health (17.4); recover (8.7); driving (4.35); courageous (4.35); courage (4.35); strong (4.35);courage (4); healthy (2); health (1); heal (1); strong (1); strength (1); brave (1);;;;;
bridesmaid;bridesmaid;bride (20.8);;;;;;;;;;;;;;;;;
bug;bug;insect (4.0); insects (4.0);orgasm (3); insect (2); bug (1); ant (1);;;;;;;;;;;;
cabinet;cabinet (45.0); cabinets (10.0);take apart (10.0); pull apart (5.0); take away (10.0); looking through hanging clothes (in closet) (10.0); read intensely (5.0); cupboard (5.0);cabinets (1);;;;;;;;;;
candy_1;candy;sour (3.2);;;;;;;;;;;;;;;;;
