Gloss,1,2,3,4,5,6,7,8,9,10,11,12
"""VIDEO-GAME""",,,,,,,,,,,,
A-LOT,,,,,,,,,,,,
ABC'S,,,,,,,,,,,,
ABOUT,,,,,,,,,,,,
ABOVE,,,,,,,,,,,,
ABUSE,,,,,,,,,,,,
ACCENT,,,,,,,,,,,,
ACCEPT,,,,,,,,,,,,
ACCIDENT,,,,,,,,,,,,
ACCOMPANY, WITH,,,,,,,,,,,
ACCOUNTANT,,,,,,,,,,,,
ACQUAINTANCE,,,,,,,,,,,,
ACQUIRE,,,,,,,,,,,,
ACROSS,,,,,,,,,,,,
ACT,,,,,,,,,,,,
ACTIVE,,,,,,,,,,,,
ACTOR,,,,,,,,,,,,
ADD,,,,,,,,,,,,
ADD-TO,,,,,,,,,,,,
ADDICT,,,,,,,,,,,,
ADDRESS,,,,,,,,,,,,
ADMINISTRATION, MANAGER,,,,,,,,,,,
ADOPT,,,,,,,,,,,,
ADOPT, TAKE-UP,,,,,,,,,,,
ADULT,,,,,,,,,,,,
ADVISE/ADVICE, COUNSEL,,,,,,,,,,,
AFRAID, SCARED,,,,,,,,,,,
AFRICA,,,,,,,,,,,,
AFTER,,,,,,,,,,,,
AFTERNOON, EVERY AFTERNOON,,,,,,,,,,,
AGAIN, REPEAT,,,,,,,,,,,
AGAINST, OPPOSED/ANTI/CON,,,,,,,,,,,
AGENT,,,,,,,,,,,,
AGGRESSIVE,,,,,,,,,,,,
AGREE,,,,,,,,,,,,
AIDE,,,,,,,,,,,,
AIR,,,,,,,,,,,,
AIRPLANE,,,,,,,,,,,,
ALCOHOL,,,,,,,,,,,,
ALCOHOLIC,,,,,,,,,,,,
ALL,,,,,,,,,,,,
ALL-OVER/-DOM, FIELD,,,,,,,,,,,
ALLERGY,,,,,,,,,,,,
ALLIGATOR,,,,,,,,,,,,
ALLOW, PERMIT,,,,,,,,,,,
ALMOST,,,,,,,,,,,,
ALMOST, EASY,,,,,,,,,,,
ALOHA,,,,,,,,,,,,
ALONE, SINGLE,,,,,,,,,,,
ALPHABET,,,,,,,,,,,,
